atm_name,transaction_date,No_Of_Withdrawals,no_of_cub_card_withdrawals,no_of_other_card_withdrawals,total_amount_withdrawn,amount_withdrawn_cub_card,amount_withdrawn_other_card,weekday,working_day
Big Street ATM,11/12/2013,107,43,64,413200,232900,180300,wednesday,W
Mount Road ATM,11/12/2013,152,92,60,546500,413200,133300,wednesday,W
Airport ATM,11/12/2013,126,96,30,593000,490700,102300,wednesday,W
KK Nagar ATM,11/12/2013,267,205,62,1531300,1282800,248500,wednesday,W
Christ College ATM,11/12/2013,157,61,96,726500,330100,396400,wednesday,W
Big Street ATM,12/12/2013,107,40,67,352400,153100,199300,thursday,W
Mount Road ATM,12/12/2013,125,71,54,452100,303500,148600,thursday,W
Airport ATM,12/12/2013,68,42,26,352200,256100,96100,thursday,W
KK Nagar ATM,12/12/2013,152,114,38,697700,553900,143800,thursday,W
Christ College ATM,12/12/2013,137,57,80,510500,338900,171600,thursday,W
Big Street ATM,23/12/2013,17,13,4,92500,69600,22900,monday,W
Mount Road ATM,23/12/2013,25,13,12,175600,109500,66100,monday,W
Airport ATM,23/12/2013,64,60,4,325000,299500,25500,monday,W
KK Nagar ATM,23/12/2013,118,109,9,468300,444300,24000,monday,W
Christ College ATM,23/12/2013,22,14,8,104000,81800,22200,monday,W
Big Street ATM,24/12/2013,44,27,17,147300,98400,48900,tuesday,W
Mount Road ATM,24/12/2013,60,60,0,245200,245200,0,tuesday,W
Airport ATM,24/12/2013,38,33,5,106100,103600,2500,tuesday,W
KK Nagar ATM,24/12/2013,226,221,5,775300,760400,14900,tuesday,W
Christ College ATM,24/12/2013,110,94,16,522200,458900,63300,tuesday,W
Big Street ATM,25/12/2013,129,45,84,330400,130700,199700,wednesday,H
Mount Road ATM,25/12/2013,87,29,58,254500,76100,178400,wednesday,H
Airport ATM,25/12/2013,19,10,9,21200,11500,9700,wednesday,H
KK Nagar ATM,25/12/2013,177,147,30,745500,645300,100200,wednesday,H
Christ College ATM,25/12/2013,76,38,38,233100,184400,48700,wednesday,H
Big Street ATM,26/12/2013,77,33,44,340800,148800,192000,thursday,W
Mount Road ATM,26/12/2013,167,100,67,659100,481900,177200,thursday,W
KK Nagar ATM,26/12/2013,220,185,35,956200,840200,116000,thursday,W
Christ College ATM,26/12/2013,92,52,40,520800,363300,157500,thursday,W
Big Street ATM,27/12/2013,73,41,32,273000,213300,59700,friday,W
Mount Road ATM,27/12/2013,125,87,38,550300,463700,86600,friday,W
KK Nagar ATM,27/12/2013,165,146,19,579000,506200,72800,friday,W
Christ College ATM,27/12/2013,46,22,24,82400,48200,34200,friday,W
Big Street ATM,28/12/2013,100,33,67,353900,133200,220700,saturday,H
Mount Road ATM,28/12/2013,168,79,89,469000,269500,199500,saturday,H
Airport ATM,28/12/2013,43,32,11,156300,134500,21800,saturday,H
KK Nagar ATM,28/12/2013,280,195,85,1132600,840100,292500,saturday,H
Christ College ATM,28/12/2013,116,54,62,525600,330200,195400,saturday,H
Big Street ATM,29/12/2013,101,28,73,312900,150600,162300,sunday,H
Mount Road ATM,29/12/2013,89,35,54,184100,77600,106500,sunday,H
Airport ATM,29/12/2013,103,70,33,445400,341600,103800,sunday,H
KK Nagar ATM,29/12/2013,123,75,48,438600,264500,174100,sunday,H
Christ College ATM,29/12/2013,65,41,24,233300,175600,57700,sunday,H
Big Street ATM,30/12/2013,98,39,59,328700,188600,140100,monday,W
Mount Road ATM,30/12/2013,145,92,53,534800,395600,139200,monday,W
Airport ATM,30/12/2013,101,85,16,465200,435900,29300,monday,W
KK Nagar ATM,30/12/2013,227,182,45,1065700,885100,180600,monday,W
Christ College ATM,30/12/2013,111,65,46,576800,391900,184900,monday,W
Big Street ATM,31/12/2013,144,48,96,607900,325100,282800,tuesday,W
Mount Road ATM,31/12/2013,221,130,91,922400,666600,255800,tuesday,W
Airport ATM,31/12/2013,119,96,23,721900,623000,98900,tuesday,W
KK Nagar ATM,31/12/2013,335,257,78,1506400,1225000,281400,tuesday,W
Christ College ATM,31/12/2013,110,59,51,376400,270400,106000,tuesday,W
Big Street ATM,01/01/2014,101,44,57,360800,173400,187400,wednesday,H
Mount Road ATM,01/01/2014,90,31,59,268800,113400,155400,wednesday,H
Airport ATM,01/01/2014,68,55,13,349500,320800,28700,wednesday,H
KK Nagar ATM,01/01/2014,235,170,65,1083400,808000,275400,wednesday,H
Christ College ATM,01/01/2014,85,35,50,318400,164100,154300,wednesday,H
Big Street ATM,02/01/2014,80,32,48,257500,97600,159900,thursday,W
Mount Road ATM,02/01/2014,193,133,60,1031000,813400,217600,thursday,W
Airport ATM,02/01/2014,49,40,9,221600,203900,17700,thursday,W
KK Nagar ATM,02/01/2014,295,222,73,1604500,1238600,365900,thursday,W
Christ College ATM,02/01/2014,183,77,106,836100,347800,488300,thursday,W
Big Street ATM,03/01/2014,105,31,74,336400,144000,192400,friday,W
Mount Road ATM,03/01/2014,171,94,77,653800,400800,253000,friday,W
Airport ATM,03/01/2014,122,100,22,552600,473000,79600,friday,W
KK Nagar ATM,03/01/2014,246,174,72,1202000,862400,339600,friday,W
Christ College ATM,03/01/2014,158,55,103,831500,330500,501000,friday,W
Big Street ATM,04/01/2014,108,42,66,352600,159300,193300,saturday,H
Mount Road ATM,04/01/2014,197,95,102,769900,511500,258400,saturday,H
Airport ATM,04/01/2014,57,39,18,291700,251100,40600,saturday,H
KK Nagar ATM,04/01/2014,278,221,57,1398600,1189900,208700,saturday,H
Christ College ATM,04/01/2014,168,91,77,960600,527800,432800,saturday,H
Big Street ATM,05/01/2014,140,38,102,516200,199300,316900,sunday,H
Mount Road ATM,05/01/2014,164,47,117,395000,117000,278000,sunday,H
Airport ATM,05/01/2014,127,87,40,510200,394100,116100,sunday,H
KK Nagar ATM,05/01/2014,175,117,58,697700,489200,208500,sunday,H
Christ College ATM,05/01/2014,155,62,93,523900,223800,300100,sunday,H
Big Street ATM,06/01/2014,112,30,82,420700,147400,273300,monday,W
Mount Road ATM,06/01/2014,264,112,152,1187800,713900,473900,monday,W
Airport ATM,06/01/2014,48,30,18,233400,172300,61100,monday,W
KK Nagar ATM,06/01/2014,319,205,114,1244700,819100,425600,monday,W
Christ College ATM,06/01/2014,218,89,129,1087000,530200,556800,monday,W
Big Street ATM,07/01/2014,147,48,99,593100,236700,356400,tuesday,W
Mount Road ATM,07/01/2014,246,136,110,1243400,901300,342100,tuesday,W
Airport ATM,07/01/2014,124,96,28,605400,503700,101700,tuesday,W
KK Nagar ATM,07/01/2014,228,167,61,1064000,838400,225600,tuesday,W
Christ College ATM,07/01/2014,159,53,106,760600,258300,502300,tuesday,W
Big Street ATM,08/01/2014,119,39,80,463800,172900,290900,wednesday,W
Mount Road ATM,08/01/2014,189,79,110,685600,333500,352100,wednesday,W
Airport ATM,08/01/2014,130,93,37,556800,456200,100600,wednesday,W
KK Nagar ATM,08/01/2014,248,160,88,1114800,683600,431200,wednesday,W
Christ College ATM,08/01/2014,214,52,162,1028300,300500,727800,wednesday,W
Big Street ATM,09/01/2014,141,42,99,508700,226400,282300,thursday,W
Mount Road ATM,09/01/2014,180,90,90,769500,470200,299300,thursday,W
Airport ATM,09/01/2014,138,96,42,588300,470000,118300,thursday,W
KK Nagar ATM,09/01/2014,261,183,78,1193200,850600,342600,thursday,W
Christ College ATM,09/01/2014,138,52,86,577000,253300,323700,thursday,W
Big Street ATM,10/01/2014,116,34,82,420900,164900,256000,friday,W
Mount Road ATM,10/01/2014,214,92,122,786500,275300,511200,friday,W
Airport ATM,10/01/2014,118,92,26,717300,631700,85600,friday,W
KK Nagar ATM,10/01/2014,256,169,87,1193500,804300,389200,friday,W
Christ College ATM,10/01/2014,174,71,103,785300,431400,353900,friday,W
Big Street ATM,11/01/2014,115,29,86,435200,129000,306200,saturday,H
Mount Road ATM,11/01/2014,190,82,108,649500,339500,310000,saturday,H
Airport ATM,11/01/2014,158,121,37,784300,664800,119500,saturday,H
KK Nagar ATM,11/01/2014,250,180,70,1161000,944200,216800,saturday,H
Christ College ATM,11/01/2014,136,76,60,710000,487000,223000,saturday,H
Big Street ATM,12/01/2014,128,30,98,340600,103200,237400,sunday,H
Mount Road ATM,12/01/2014,146,64,82,509000,377600,131400,sunday,H
Airport ATM,12/01/2014,122,81,41,553100,440200,112900,sunday,H
KK Nagar ATM,12/01/2014,175,121,54,734800,511900,222900,sunday,H
Christ College ATM,12/01/2014,99,40,59,353600,186800,166800,sunday,H
Big Street ATM,13/01/2014,84,27,57,287100,125400,161700,monday,W
Mount Road ATM,13/01/2014,186,75,111,580100,237500,342600,monday,W
Airport ATM,13/01/2014,120,75,45,498300,329300,169000,monday,W
KK Nagar ATM,13/01/2014,260,157,103,1038300,680900,357400,monday,W
Christ College ATM,13/01/2014,155,47,108,664000,227300,436700,monday,W
Big Street ATM,14/01/2014,115,23,92,252600,91000,161600,tuesday,H
Mount Road ATM,14/01/2014,108,18,90,293000,73400,219600,tuesday,H
Airport ATM,14/01/2014,50,24,26,231000,154100,76900,tuesday,H
KK Nagar ATM,14/01/2014,129,59,70,444200,252600,191600,tuesday,H
Christ College ATM,14/01/2014,91,36,55,294400,96400,198000,tuesday,H
Big Street ATM,15/01/2014,135,40,95,461600,197600,264000,wednesday,H
Mount Road ATM,15/01/2014,96,29,67,377200,176400,200800,wednesday,H
Airport ATM,15/01/2014,69,44,25,313100,223600,89500,wednesday,H
KK Nagar ATM,15/01/2014,139,74,65,522100,323700,198400,wednesday,H
Christ College ATM,15/01/2014,78,39,39,313800,217600,96200,wednesday,H
Big Street ATM,16/01/2014,130,43,87,438400,216400,222000,thursday,H
Mount Road ATM,16/01/2014,127,43,84,352600,159800,192800,thursday,H
Airport ATM,16/01/2014,90,64,26,217900,169600,48300,thursday,H
KK Nagar ATM,16/01/2014,195,99,96,771000,315300,455700,thursday,H
Christ College ATM,16/01/2014,116,36,80,354500,119900,234600,thursday,H
Big Street ATM,17/01/2014,112,40,72,342800,176600,166200,friday,W
Mount Road ATM,17/01/2014,155,83,72,660800,462500,198300,friday,W
Airport ATM,17/01/2014,97,74,23,514700,458700,56000,friday,W
KK Nagar ATM,17/01/2014,260,171,89,1184400,847600,336800,friday,W
Christ College ATM,17/01/2014,239,58,181,1042800,248900,793900,friday,W
Big Street ATM,18/01/2014,120,20,100,404500,144400,260100,saturday,H
Mount Road ATM,18/01/2014,152,62,90,598900,337500,261400,saturday,H
Airport ATM,18/01/2014,105,81,24,570700,515500,55200,saturday,H
KK Nagar ATM,18/01/2014,200,144,56,775300,569000,206300,saturday,H
Christ College ATM,18/01/2014,170,54,116,741600,337800,403800,saturday,H
Big Street ATM,19/01/2014,123,27,96,389500,138800,250700,sunday,H
Mount Road ATM,19/01/2014,103,27,76,266000,89400,176600,sunday,H
Airport ATM,19/01/2014,127,97,30,530300,404900,125400,sunday,H
KK Nagar ATM,19/01/2014,113,80,33,411500,323900,87600,sunday,H
Christ College ATM,19/01/2014,148,36,112,461600,96300,365300,sunday,H
Big Street ATM,20/01/2014,85,40,45,310400,186400,124000,monday,W
Mount Road ATM,20/01/2014,168,87,81,550500,353600,196900,monday,W
Airport ATM,20/01/2014,119,96,23,793400,740800,52600,monday,W
KK Nagar ATM,20/01/2014,232,177,55,1411100,1160500,250600,monday,W
Christ College ATM,20/01/2014,187,70,117,762100,327300,434800,monday,W
Big Street ATM,21/01/2014,85,34,51,319800,182400,137400,tuesday,W
Mount Road ATM,21/01/2014,128,68,60,373800,196100,177700,tuesday,W
Airport ATM,21/01/2014,79,67,12,244500,222500,22000,tuesday,W
KK Nagar ATM,21/01/2014,196,154,42,1005000,892900,112100,tuesday,W
Christ College ATM,21/01/2014,175,59,116,801900,340400,461500,tuesday,W
Big Street ATM,22/01/2014,96,29,67,220000,100400,119600,wednesday,W
Mount Road ATM,22/01/2014,163,86,77,572800,372200,200600,wednesday,W
Airport ATM,22/01/2014,127,95,32,615800,506700,109100,wednesday,W
KK Nagar ATM,22/01/2014,202,154,48,1030800,858400,172400,wednesday,W
Christ College ATM,22/01/2014,157,67,90,705700,444300,261400,wednesday,W
Big Street ATM,23/01/2014,81,40,41,264600,166900,97700,thursday,W
Mount Road ATM,23/01/2014,130,67,63,564300,384500,179800,thursday,W
Airport ATM,23/01/2014,103,80,23,547200,509100,38100,thursday,W
KK Nagar ATM,23/01/2014,181,143,38,736400,577500,158900,thursday,W
Christ College ATM,23/01/2014,110,69,41,461800,308500,153300,thursday,W
Big Street ATM,24/01/2014,118,45,73,385300,244400,140900,friday,W
Mount Road ATM,24/01/2014,175,81,94,591200,396000,195200,friday,W
Airport ATM,24/01/2014,78,63,15,380500,354600,25900,friday,W
KK Nagar ATM,24/01/2014,162,119,43,704200,530400,173800,friday,W
Christ College ATM,24/01/2014,86,45,41,362700,285300,77400,friday,W
Big Street ATM,25/01/2014,97,37,60,258500,106300,152200,saturday,H
Mount Road ATM,25/01/2014,166,89,77,579700,399300,180400,saturday,H
Airport ATM,25/01/2014,70,54,16,386900,341700,45200,saturday,H
KK Nagar ATM,25/01/2014,272,202,70,1450300,1146500,303800,saturday,H
Christ College ATM,25/01/2014,144,61,83,636700,339900,296800,saturday,H
Big Street ATM,26/01/2014,118,31,87,415800,182400,233400,sunday,H
Mount Road ATM,26/01/2014,149,44,105,365800,131200,234600,sunday,H
Airport ATM,26/01/2014,97,74,23,435900,406800,29100,sunday,H
KK Nagar ATM,26/01/2014,110,76,34,492500,388000,104500,sunday,H
Christ College ATM,26/01/2014,137,35,102,349900,137100,212800,sunday,H
Big Street ATM,27/01/2014,92,29,63,279800,124800,155000,monday,W
Mount Road ATM,27/01/2014,133,66,67,511600,318500,193100,monday,W
Airport ATM,27/01/2014,112,92,20,524800,494600,30200,monday,W
KK Nagar ATM,27/01/2014,208,161,47,1032800,843000,189800,monday,W
Christ College ATM,27/01/2014,127,46,81,467400,216200,251200,monday,W
Big Street ATM,28/01/2014,107,47,60,398200,251800,146400,tuesday,W
Mount Road ATM,28/01/2014,106,58,48,367500,278800,88700,tuesday,W
Airport ATM,28/01/2014,86,74,12,494900,487200,7700,tuesday,W
KK Nagar ATM,28/01/2014,209,170,39,836400,743000,93400,tuesday,W
Christ College ATM,28/01/2014,139,33,106,444200,152500,291700,tuesday,W
Big Street ATM,29/01/2014,84,31,53,234200,148800,85400,wednesday,W
Mount Road ATM,29/01/2014,130,79,51,606900,391100,215800,wednesday,W
Airport ATM,29/01/2014,91,73,18,372900,311000,61900,wednesday,W
KK Nagar ATM,29/01/2014,206,162,44,988900,836200,152700,wednesday,W
Christ College ATM,29/01/2014,148,46,102,549600,257200,292400,wednesday,W
Big Street ATM,30/01/2014,67,33,34,274700,177600,97100,thursday,W
Mount Road ATM,30/01/2014,126,71,55,487200,292800,194400,thursday,W
Airport ATM,30/01/2014,129,101,28,715300,644800,70500,thursday,W
KK Nagar ATM,30/01/2014,237,181,56,1443400,1176100,267300,thursday,W
Christ College ATM,30/01/2014,126,43,83,592100,267700,324400,thursday,W
Big Street ATM,31/01/2014,120,48,72,401100,210000,191100,friday,W
Mount Road ATM,31/01/2014,191,103,88,692200,396300,295900,friday,W
Airport ATM,31/01/2014,132,100,32,643500,511800,131700,friday,W
KK Nagar ATM,31/01/2014,259,214,45,1245300,1076000,169300,friday,W
Christ College ATM,31/01/2014,231,67,164,980200,298000,682200,friday,W
Big Street ATM,01/02/2014,93,46,47,384700,264200,120500,saturday,H
Mount Road ATM,01/02/2014,154,99,55,651400,415800,235600,saturday,H
Airport ATM,01/02/2014,133,112,21,654500,598600,55900,saturday,H
KK Nagar ATM,01/02/2014,296,220,76,1588000,1181000,407000,saturday,H
Christ College ATM,01/02/2014,195,57,138,937600,323600,614000,saturday,H
Big Street ATM,02/02/2014,128,45,83,543000,288000,255000,sunday,H
Mount Road ATM,02/02/2014,162,50,112,556200,222800,333400,sunday,H
Airport ATM,02/02/2014,119,79,40,419200,291600,127600,sunday,H
KK Nagar ATM,02/02/2014,144,77,67,726800,335400,391400,sunday,H
Christ College ATM,02/02/2014,267,50,217,1201400,274000,927400,sunday,H
Big Street ATM,03/02/2014,95,30,65,344200,146200,198000,monday,W
Mount Road ATM,03/02/2014,188,106,82,643200,349400,293800,monday,W
Airport ATM,03/02/2014,136,112,24,666500,539400,127100,monday,W
KK Nagar ATM,03/02/2014,315,216,99,1831700,1361200,470500,monday,W
Christ College ATM,03/02/2014,140,42,98,498600,173600,325000,monday,W
Big Street ATM,04/02/2014,154,43,111,540000,110700,429300,tuesday,W
Mount Road ATM,04/02/2014,195,89,106,727100,394600,332500,tuesday,W
Airport ATM,04/02/2014,117,96,21,742200,626700,115500,tuesday,W
KK Nagar ATM,04/02/2014,254,161,93,1362500,880600,481900,tuesday,W
Christ College ATM,04/02/2014,192,71,121,981600,405400,576200,tuesday,W
Big Street ATM,05/02/2014,119,50,69,354500,157500,197000,wednesday,W
Mount Road ATM,05/02/2014,194,72,122,741900,332100,409800,wednesday,W
Airport ATM,05/02/2014,96,79,17,437800,402200,35600,wednesday,W
KK Nagar ATM,05/02/2014,289,195,94,1558600,1131500,427100,wednesday,W
Christ College ATM,05/02/2014,173,74,99,708600,242600,466000,wednesday,W
Big Street ATM,06/02/2014,101,41,60,335000,206600,128400,thursday,W
Mount Road ATM,06/02/2014,201,101,100,876300,531300,345000,thursday,W
Airport ATM,06/02/2014,115,75,40,621500,495600,125900,thursday,W
KK Nagar ATM,06/02/2014,265,196,69,1331900,1053600,278300,thursday,W
Christ College ATM,06/02/2014,220,68,152,866200,380400,485800,thursday,W
Big Street ATM,07/02/2014,111,44,67,545900,316200,229700,friday,W
Mount Road ATM,07/02/2014,188,88,100,710100,393900,316200,friday,W
Airport ATM,07/02/2014,104,77,27,483300,376500,106800,friday,W
KK Nagar ATM,07/02/2014,215,161,54,1049600,869500,180100,friday,W
Christ College ATM,07/02/2014,183,46,137,643800,205900,437900,friday,W
Big Street ATM,08/02/2014,97,34,63,385900,225000,160900,saturday,H
Mount Road ATM,08/02/2014,194,110,84,773700,574800,198900,saturday,H
Airport ATM,08/02/2014,128,93,35,607300,515100,92200,saturday,H
KK Nagar ATM,08/02/2014,263,183,80,1212800,843400,369400,saturday,H
Christ College ATM,08/02/2014,236,80,156,1087300,473700,613600,saturday,H
Big Street ATM,09/02/2014,48,23,25,175500,100100,75400,sunday,H
Mount Road ATM,09/02/2014,73,38,35,197100,120400,76700,sunday,H
Airport ATM,09/02/2014,94,82,12,430300,387100,43200,sunday,H
KK Nagar ATM,09/02/2014,114,88,26,467200,394900,72300,sunday,H
Christ College ATM,09/02/2014,81,37,44,357400,181100,176300,sunday,H
Big Street ATM,10/02/2014,86,26,60,316100,139600,176500,monday,W
Mount Road ATM,10/02/2014,196,95,101,881600,630200,251400,monday,W
Airport ATM,10/02/2014,117,83,34,576200,459700,116500,monday,W
KK Nagar ATM,10/02/2014,209,141,68,904300,596700,307600,monday,W
Christ College ATM,10/02/2014,212,58,154,1127700,318000,809700,monday,W
Big Street ATM,11/02/2014,112,35,77,396100,199600,196500,tuesday,W
Mount Road ATM,11/02/2014,178,72,106,649600,298500,351100,tuesday,W
Airport ATM,11/02/2014,102,66,36,423900,272600,151300,tuesday,W
KK Nagar ATM,11/02/2014,278,164,114,1303000,718200,584800,tuesday,W
Christ College ATM,11/02/2014,236,62,174,841100,230800,610300,tuesday,W
Big Street ATM,12/02/2014,128,36,92,485800,183700,302100,wednesday,W
Mount Road ATM,12/02/2014,204,99,105,787200,395500,391700,wednesday,W
Airport ATM,12/02/2014,60,36,24,313300,224800,88500,wednesday,W
KK Nagar ATM,12/02/2014,183,132,51,1027100,791100,236000,wednesday,W
Christ College ATM,12/02/2014,179,61,118,933600,397300,536300,wednesday,W
Big Street ATM,13/02/2014,118,25,93,361600,62900,298700,thursday,W
Mount Road ATM,13/02/2014,163,85,78,575400,355100,220300,thursday,W
Airport ATM,13/02/2014,6,2,4,14700,4600,10100,thursday,W
KK Nagar ATM,13/02/2014,213,163,50,1054900,823800,231100,thursday,W
Christ College ATM,13/02/2014,132,54,78,613800,293800,320000,thursday,W
Big Street ATM,14/02/2014,132,43,89,559300,257700,301600,friday,W
Mount Road ATM,14/02/2014,158,67,91,484200,257400,226800,friday,W
Airport ATM,14/02/2014,103,76,27,420800,348900,71900,friday,W
KK Nagar ATM,14/02/2014,247,163,84,930400,594900,335500,friday,W
Christ College ATM,14/02/2014,154,65,89,768100,365300,402800,friday,W
Big Street ATM,15/02/2014,136,34,102,400300,113000,287300,saturday,H
Mount Road ATM,15/02/2014,230,85,145,832500,432900,399600,saturday,H
Airport ATM,15/02/2014,140,102,38,793000,671300,121700,saturday,H
KK Nagar ATM,15/02/2014,235,164,71,1068700,742700,326000,saturday,H
Christ College ATM,15/02/2014,162,63,99,658000,281600,376400,saturday,H
Big Street ATM,16/02/2014,127,38,89,376100,104200,271900,sunday,H
Mount Road ATM,16/02/2014,116,41,75,434600,281000,153600,sunday,H
Airport ATM,16/02/2014,132,83,49,506900,378500,128400,sunday,H
KK Nagar ATM,16/02/2014,116,75,41,402700,249300,153400,sunday,H
Christ College ATM,16/02/2014,182,44,138,525000,119400,405600,sunday,H
Big Street ATM,17/02/2014,77,33,44,259100,181400,77700,monday,W
Mount Road ATM,17/02/2014,132,84,48,565600,474600,91000,monday,W
